"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2011","test 3","chromium","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","32064","get started link with wrong name","firefox","2026-02-11","failed","2026-02-11","","example.spec.ts","",""
"","1683","get started link","chromium","2026-02-11","passed","2026-02-11","","example.spec.ts","",""
"","33504","get started link with wrong name","webkit","2026-02-11","failed","2026-02-11","","example.spec.ts","",""
"","2015","has title","firefox","2026-02-11","passed","2026-02-11","","example.spec.ts","",""
"","1979","get started link","firefox","2026-02-11","passed","2026-02-11","","example.spec.ts","",""
"","1683","test 1","webkit","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","1151","test 2","webkit","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","1654","test 2","firefox","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","2874","test 2","chromium","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","1592","test 3","firefox","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","1758","has title","webkit","2026-02-11","passed","2026-02-11","","example.spec.ts","",""
"","2235","test 1","chromium","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","4892","has title","chromium","2026-02-11","passed","2026-02-11","","example.spec.ts","",""
"","32508","get started link with wrong name","chromium","2026-02-11","failed","2026-02-11","","example.spec.ts","",""
"","2533","test 1","firefox","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
"","2545","get started link","webkit","2026-02-11","passed","2026-02-11","","example.spec.ts","",""
"","1350","test 3","webkit","2026-02-09","passed","2026-02-09","","parallel.spec.ts","",""
